学校,学院,教师名
安徽工业大学,机械工程学院,单建华
安徽工业大学,机械工程学院,徐向荣
北京科技大学,机械工程学院,乐恺
北京科技大学,机械工程学院,乐恺
北京科技大学,机械工程学院,乐恺
北京科技大学,机械工程学院,乐恺
北京科技大学,机械工程学院,乐恺
北京科技大学,机械工程学院,阳建宏
北京科技大学,机械工程学院,吴秀丽
北京科技大学,机械工程学院,曹建国
北京科技大学,机械工程学院,曹建国
北京科技大学,机械工程学院,范让林
北京科技大学,机械工程学院,范让林
北京科技大学,机械工程学院,范让林
北京科技大学,机械工程学院,范让林
北京科技大学,机械工程学院,范让林
北京科技大学,机械工程学院,周晓敏
北京科技大学,机械工程学院,缪纯孝
北京科技大学,机械工程学院,杜彦华
北京科技大学,机械工程学院,杜彦华
北京科技大学,机械工程学院,杜彦华
北京石油化工学院,机械工程学院,介鹏飞
大连大学,机械工程学院,董桂馥
大连大学,机械工程学院,董桂馥
大连大学,机械工程学院,董桂馥
大连大学,机械工程学院,付传起
大连大学,机械工程学院,付传起
大连大学,机械工程学院,付传起
大连交通大学,机械工程学院,郭方准
大连理工大学,机械工程学院,张永顺
大连理工大学,机械工程学院,张永顺
大连理工大学,机械工程学院,张永顺
大连理工大学,机械工程学院,张永顺
大连理工大学,机械工程学院,张永顺
大连理工大学,机械工程学院,张永顺
大连理工大学,机械工程学院,张永顺
大连理工大学,机械工程学院,张永顺
大连理工大学,机械工程学院,王续跃
大连理工大学,机械工程学院,王续跃
大连理工大学,机械工程学院,王续跃
大连理工大学,机械工程学院,王续跃
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,王德伦
大连理工大学,机械工程学院,孙守林
大连理工大学,机械工程学院,孙守林
大连理工大学,机械工程学院,孙守林
大连理工大学,机械工程学院,孙晶
大连理工大学,机械工程学院,孙晶
大连理工大学,机械工程学院,孙晶
大连理工大学,机械工程学院,孙晶
大连理工大学,机械工程学院,桑勇
大连理工大学,机械工程学院,屈福政
大连理工大学,机械工程学院,屈福政
大连理工大学,机械工程学院,屈福政
大连理工大学,机械工程学院,屈福政
大连理工大学,机械工程学院,屈福政
